"subject","time","X1","X2","X3","X4","X5","X6","Y"
"1",1,0.439524353447787,-0.495798724851333,-0.511603722189581,2.28196695572699,-0.483135068652272,1.62365925222734,-4.69860599662247
"1",2,1.76982251051672,-0.039955043766194,-0.511603722189581,2.28196695572699,-0.483135068652272,1.62365925222734,-1.91179601182501
"1",3,4.55870831414912,1.48201975942334,-0.511603722189581,2.28196695572699,-0.483135068652272,1.62365925222734,0.0592222302501096
"1",4,4.07050839142458,1.86782486714327,-0.511603722189581,2.28196695572699,-0.483135068652272,1.62365925222734,0.803661305840996
"1",5,5.12928773516095,-0.049342774750432,-0.511603722189581,2.28196695572699,-0.483135068652272,1.62365925222734,1.98103319655868
"2",1,2.71506498688328,1.54057345571938,0.236937879127631,-0.463683013103733,-0.531346919490549,-0.920484878072598,2.08870411243381
"2",2,2.4609162059892,1.24972573598519,0.236937879127631,-0.463683013103733,-0.531346919490549,-0.920484878072598,1.21667001668763
"2",3,1.73493876539347,3.91620737314833,0.236937879127631,-0.463683013103733,-0.531346919490549,-0.920484878072598,-2.07783833495136
"2",4,3.31314714810647,2.6851982380511,0.236937879127631,-0.463683013103733,-0.531346919490549,-0.920484878072598,0.646581379331315
"2",5,4.55433802990004,2.05304069103801,0.236937879127631,-0.463683013103733,-0.531346919490549,-0.920484878072598,4.69369274473527
"3",1,2.22408179743946,3.2973911469581,-0.541589171621698,-0.326353571908267,-0.587684756585901,-1.20219764681918,-6.31039950628855
"3",2,2.35981382705736,3.83222602391551,-0.541589171621698,-0.326353571908267,-0.587684756585901,-1.20219764681918,-7.46595518178063
"3",3,3.40077145059405,0.281288183709821,-0.541589171621698,-0.326353571908267,-0.587684756585901,-1.20219764681918,2.03024736602942
"3",4,4.11068271594512,2.46903195595542,-0.541589171621698,-0.326353571908267,-0.587684756585901,-1.20219764681918,-0.450393587290559
"3",5,4.44415886524593,2.28875308136785,-0.541589171621698,-0.326353571908267,-0.587684756585901,-1.20219764681918,-0.693855374906247
"4",1,2.78691313680308,0.687051146554012,1.21922764704307,0.882493210397949,-0.411697868987503,0.882678068364482,4.25720788689281
"4",2,2.49785047822924,1.22754272856881,1.21922764704307,0.882493210397949,-0.411697868987503,0.882678068364482,4.37452851061989
"4",3,1.03338284337036,0.238099537130948,1.21922764704307,0.882493210397949,-0.411697868987503,0.882678068364482,2.57822665378198
"4",4,4.70135590156369,2.28558958024256,1.21922764704307,0.882493210397949,-0.411697868987503,0.882678068364482,4.91742139835614
"4",5,4.52720859227207,4.2492473631418,1.21922764704307,0.882493210397949,-0.411697868987503,0.882678068364482,1.59443762137076
